Quote,Author,Image,Credit
Be less curious about people and more curious about ideas.,Maria Sklodowska-Curie (1967-1934),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Marie_Curie_c._1920s.jpg/1200px-Marie_Curie_c._1920s.jpg,Wikipedia
"To those who can hear me, I say - do not despair. The misery that is now upon us is but the passing of greed - the bitterness of men who fear the way of human progress. The hate of men will pass, and dictators die, and the power they took from the people will return to the people. And so long as men die, liberty will never perish","Charlie Chaplin (1889-1977), in ""The Great Dictator""",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Charlie_Chaplin.jpg/640px-Charlie_Chaplin.jpg,Wikipedia
"The best theory is inspired by practice. The
best practice is inspired by theory.",Donald Knuth (1938- ),https://en.wikipedia.org/wiki/File:Donald_Ervin_Knuth_(cropped).jpg,Wikipedia
"A mathematician is a device for
turning coffee into theorems.","Alfred Renyi (1921-1970), often ascribed to Paul Erdos (1913-1996)",https://en.wikipedia.org/wiki/File:Alfred_Kato_Renyi.jpg,Wikipedia
"Perhaps even more than to the interaction
between mankind and nature, graph theory is
based on the interaction of human beings
with each other. ",Denes Konig (1884-1944),https://en.wikipedia.org/wiki/File:Denes_Konig_1928.jpg,Wikipedia
We see the world in terms of our theories. ,Thomas Kuhn (1922-1996),https://en.wikipedia.org/wiki/File:Thomas_Kuhn.jpg,Wikipedia
"The unique end of science is the honor of the
human mind.",Carl Gustav Jacob Jacobi (1804-1851),https://it.wikipedia.org/wiki/File:Carl_Jacobi.jpg,Wikipedia
"Symmetry, as wide or as narrow as you may
define its meaning, is one idea by which man
through the ages has tried to comprehend and
create order, beauty, and perfection.",Hermann Weyl (1885-1955),https://en.wikipedia.org/wiki/File:Hermann_Weyl_ETH-Bib_Portr_00890.jpg,Wikipedia
"The image of the world around us, which we
carry in our head, is just a model. Nobody in
his head imagines all the world, government or
country. He has only selected concepts, and
relationships between them, and uses those to
represent the real system.",Jay Wright Forrester (1918-2016),https://en.wikipedia.org/wiki/File:Jay_Forrester.jpg,Wikipedia
"The knowledge of certain principles easily
compensates the lack of knowledge of certain
facts. ",Claude Adrien Helvétius (1715-1771),https://biografieonline.it/img/bio/c/Claude-Adrien_Helvetius.jpg,Biografie Online
Probability theory is nothing but common sense reduced to calculation.,Pierre-Simon Laplace (1749-1827),https://en.wikiquote.org/wiki/File:Pierre-Simon_Laplace.jpg,Wikiquotes
The imaginary numbers are a wonderful flight of God's spirit; they are almost an amphibian between being and not being.,Gottfried Wilhelm Leibniz (1646-1716),https://en.wikipedia.org/wiki/File:Christoph_Bernhard_Francke_-_Bildnis_des_Philosophen_Leibniz_(ca._1695).jpg,Wikipedia
"The law that entropy always increases holds, I think, the supreme position among the laws of Nature. If someone points out to you that your pet theory of the universe is in disagreement with Maxwell's equations - then so much the worse for Maxwell's equations. If it is found to be contradicted by observation - well, these experimentalists do bungle things sometimes. But if your theory is found to be against the Second Law of Thermodynamics I can give you no hope; there is nothing for it to collapse in deepest humiliation.",Arthur Eddington (1882 – 1944),https://en.wikipedia.org/wiki/File:Arthur_Stanley_Eddington.jpg,Wikipedia
"My memory for figures, otherwise tolerably accurate, always lets me down
when I am counting beer glasses",Ludwig Eduard Boltzmann (1844 – 1906),https://en.wikipedia.org/wiki/File:Boltzmann2.jpg,Wikipedia
"All knowledge is, in final analysis, history.
All sciences are, in the abstract, mathematics.
All judgements are, in their rationale, statistics.",Calyampudi Radhakrishna Rao (1920 – 2023),https://en.wikipedia.org/wiki/File:Calyampudi_Radhakrishna_Rao_at_ISI_Chennai_(cropped).JPG,Wikipedia
Mathematics is the most beautiful and most powerful creation of the human spirit.,Stefan Banach (1892 – 1945),https://en.wikipedia.org/wiki/File:Stefan_Banach.jpg,Wikipedia
Something can be more interesting if it is not immediately accepted,John Nash (1928 – 2015),"https://en.wikipedia.org/wiki/File:John_Forbes_Nash,_Jr._by_Peter_Badge.jpg",Wikipedia
"If one must choose between rigour and meaning, I shall unhesitatingly choose the latter.",René Frédéric Thom (1923 – 2002),https://en.wikipedia.org/wiki/File:Ren%C3%A9_Thom.jpeg,Wikipedia
"Bring forward what it true, write it so that it is clear, defend it to your last breath",Ludwig Eduard Boltzmann (1844 – 1906),https://en.wikipedia.org/wiki/File:Boltzmann2.jpg,Wikipedia
Uncertainty is an uncomfortable position. But certainty is an absurd one.,François-Marie Arouet (1694 – 1778) nom de plume M. de Voltaire,https://en.wikipedia.org/wiki/File:Voltaire_-_%C3%89l%C3%A9mens_de_la_philosophie_de_Neuton.png,Wikipedia
